119,office,office,836,,108,Knowles Building HongKong University,119,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,836,center,12,10311,1,,,,114.138638716|22.283001355,114.138638716|22.283001355,0,9999050000000 ,114.1382626,22.28337699
120,office,office,835,,108,Knowles Building HongKong University,120,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,835,center,12,10311,1,,,,114.138639588|22.283130034,114.138639588|22.283130034,0,9999050000000 ,114.1382581,22.28326045
121,office,office,834,,108,Knowles Building HongKong University,121,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,834,center,12,10311,1,,,,114.13863364|22.28314788,114.13863364|22.28314788,0,9999050000000 ,114.138257,22.28322476
122,office,office,833,,108,Knowles Building HongKong University,122,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,833,center,12,10311,1,,,,114.13863654|22.283180177,114.13863654|22.283180177,0,9999050000000 ,114.1382541,22.28318889
123,office,office,832,,108,Knowles Building HongKong University,123,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,832,center,12,10311,1,,,,114.138637432|22.283235499,114.138637432|22.283235499,0,9999050000000 ,114.1382564,22.28315391
124,office,office,831,,108,Knowles Building HongKong University,124,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,831,center,12,10311,1,,,,114.138638324|22.283254237,114.138638324|22.283254237,0,9999050000000 ,114.138258,22.28311983
125,office,office,830,,108,Knowles Building HongKong University,125,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,830,center,12,10311,1,,,,114.138642548|22.283290346,114.138642548|22.283290346,0,9999050000000 ,114.1382584,22.28307837
126,stairs,stairs,stairs,,108,Knowles Building HongKong University,126,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,stairs,,stairs,center,12,20204,1,,,,114.138640287|22.283485373,114.138640287|22.283485373,0,9999050000000 ,114.1382622,22.28292748
127,workshop,workshop,worshop,,108,Knowles Building HongKong University,127,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,worshop,,worshop,center,12,10311,1,,,,114.138559191|22.283459309,114.138559191|22.283459309,0,9999050000000 ,114.1383421,22.28291904
128,workshop,workshop,821,,108,Knowles Building HongKong University,128,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,worshop,,821,center,12,10311,1,,,,114.138437363|22.283466923,114.138437363|22.283466923,0,9999050000000 ,114.1384639,22.28291143
129,room,room,A/C PLANT ROOM,,108,Knowles Building HongKong University,129,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,A/C PLANT ROOM,center,12,10308,1,,,,114.138289717|22.283408151,114.138289717|22.283408151,0,9999050000000 ,114.138586,22.2829241
130,room,room,MULTI-MEDIA ROOM,,108,Knowles Building HongKong University,130,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,MULTI-MEDIA ROOM,center,12,10308,1,,,,114.138448784|22.283377456,114.138448784|22.283377456,0,9999050000000 ,114.1384525,22.28300089
131,stairs,stairs,stairs,,108,Knowles Building HongKong University,131,202,垂直過渡,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,stairs,,stairs,center,12,20204,1,,,,114.138245376|22.283475846,114.138245376|22.283475846,0,9999050000000 ,114.1386708,22.28293011
132,room,room,CRIT ROOM,,108,Knowles Building HongKong University,132,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,CRIT ROOM,center,12,10308,1,,,,114.138233681|22.283364369,114.138233681|22.283364369,0,9999050000000 ,114.1386676,22.28301398
133,studio,studio,STUDIO SPACE,,108,Knowles Building HongKong University,133,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,studio,,STUDIO SPACE,center,12,10304,1,,,,114.138302884|22.283161569,114.138302884|22.283161569,0,9999050000000 ,114.1385984,22.28321678
134,office,office,PGS/RA ,841,108,Knowles Building HongKong University,134,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,office,,PGS/RA ,center,12,10311,1,,,,114.138567063|22.283060234,114.138567063|22.283060234,0,9999050000000 ,114.1383342,22.28331812
135,room,room,MATERIAL ROOM,840,108,Knowles Building HongKong University,135,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,MATERIAL ROOM,center,12,10308,1,,,,114.13853571|22.283148577,114.13853571|22.283148577,0,9999050000000 ,114.1383466,22.28321502
136,room,room,CONFERENCE ROOM,829,108,Knowles Building HongKong University,136,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,CONFERENCE ROOM,center,12,10308,1,,,,114.138542848|22.283206636,114.138542848|22.283206636,0,9999050000000 ,114.1383456,22.28312508
137,laboratory,laboratory,COMPUTER LABORATORY GIS ,825,108,Knowles Building HongKong University,137,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,laboratory,,COMPUTER LABORATORY GIS ,center,12,10304,1,,,,114.138555642|22.283352432,114.138555642|22.283352432,0,9999050000000 ,114.1383457,22.28302592
138,room,room,RA PREPARATION WORKSHP,823,108,Knowles Building HongKong University,138,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,RA PREPARATION WORKSHP,center,12,10308,1,,,,114.138434781|22.283318665,114.138434781|22.283318665,0,9999050000000 ,114.1384684,22.28308967
139,room,room,P.G.S/RA,824,108,Knowles Building HongKong University,139,103,教育培訓,8/F,2021/10/6 13:00,81,香港特別行政區,810000,HongKong,810000,香港特別行政區,room,,P.G.S/RA,center,12,10308,1,,,,114.138480031|22.283319423,114.138480031|22.283319423,0,9999050000000 ,114.1384279,22.283087
