region_name,building_id,level_code,scope,info
D区,"001",108,"[[114.13851289495739,22.283253134312602],[114.13850865114551,22.283281207980565],[114.1384016933647,22.283278124754005],[114.13840044955867,22.283247956245873]]",nan
F区,"001",108,"[[114.13850181122172,22.28336000734336],[114.13850427976303,22.283310630215098],[114.13840573255015,22.28330851155613],[114.13840275350105,22.283357794267005],[114.1384210037454,22.283357986286703],[114.13842246754655,22.28332626217633],[114.13848632979267,22.283328466133725],[114.13848444422649,22.283359160211177]]",nan
